iter	Passed	Remaining
0	144	143982
1	145	72371
2	145	48481
3	146	36503
4	147	29356
5	148	24581
6	149	21168
7	150	18615
8	150	16625
9	151	15035
10	152	13749
11	153	12675
12	154	11753
13	155	10963
14	156	10281
15	157	9681
16	158	9152
17	159	8682
18	160	8263
19	160	7882
20	161	7541
21	162	7230
22	163	6947
23	164	6686
24	165	6449
25	166	6226
26	167	6022
27	168	5832
28	168	5652
29	169	5486
30	170	5329
31	171	5181
32	172	5046
33	173	4917
34	173	4795
35	174	4684
36	175	4575
37	176	4473
38	177	4377
39	178	4282
40	179	4195
41	180	4112
42	181	4033
43	182	3959
44	183	3885
45	183	3815
46	184	3746
47	185	3683
48	186	3620
49	187	3559
50	188	3501
51	189	3445
52	189	3394
53	190	3342
54	191	3293
55	192	3246
56	193	3200
57	194	3155
58	195	3113
59	195	3070
60	197	3032
61	197	2992
62	198	2956
63	199	2918
64	200	2884
65	201	2849
66	202	2817
67	202	2780
68	203	2749
69	204	2718
70	205	2688
71	206	2660
72	207	2633
73	208	2605
74	209	2578
75	209	2552
76	210	2525
77	211	2501
78	212	2477
79	213	2453
80	214	2429
81	215	2407
82	216	2386
83	216	2365
84	217	2341
85	218	2320
86	218	2298
87	219	2278
88	220	2259
89	221	2240
90	222	2222
91	223	2204
92	224	2187
93	225	2169
94	225	2152
95	226	2135
96	227	2118
97	228	2102
98	229	2087
99	230	2073
100	231	2058
101	231	2039
102	232	2024
103	233	2009
104	234	1995
105	234	1981
106	235	1968
107	236	1955
108	237	1942
109	238	1929
110	239	1916
111	240	1904
112	241	1892
113	241	1880
114	242	1868
115	243	1855
116	244	1843
117	245	1831
118	245	1819
119	246	1808
120	247	1797
121	248	1787
122	248	1774
123	249	1763
124	250	1753
125	251	1743
126	252	1733
127	252	1721
128	253	1712
129	254	1703
130	255	1694
131	256	1685
132	257	1675
133	258	1667
134	258	1658
135	259	1649
136	260	1641
137	261	1632
138	262	1624
139	263	1616
140	263	1608
141	264	1599
142	265	1591
143	266	1584
144	267	1576
145	268	1568
146	269	1561
147	269	1553
148	270	1546
149	271	1539
150	272	1531
151	273	1524
152	274	1517
153	275	1510
154	275	1504
155	276	1498
156	277	1491
157	278	1485
158	279	1479
159	280	1473
160	281	1466
161	282	1459
162	283	1453
163	283	1447
164	284	1441
165	285	1435
166	286	1429
167	287	1422
168	288	1417
169	289	1411
170	290	1406
171	291	1401
172	291	1395
173	292	1389
174	293	1383
175	294	1378
176	295	1372
177	296	1367
178	296	1361
179	297	1355
180	298	1348
181	298	1343
182	299	1338
183	300	1332
184	301	1327
185	302	1323
186	303	1318
187	304	1313
188	304	1308
189	305	1303
190	306	1298
191	307	1294
192	308	1290
193	309	1285
194	310	1281
195	311	1276
196	312	1272
197	312	1267
198	313	1263
199	314	1258
200	315	1253
201	316	1249
202	317	1244
203	317	1240
204	318	1236
205	319	1232
206	320	1228
207	321	1223
208	322	1219
209	323	1215
210	324	1211
211	324	1207
212	325	1203
213	326	1199
214	327	1195
215	328	1191
216	329	1187
217	329	1183
218	330	1180
219	331	1176
220	332	1172
221	333	1167
222	334	1164
223	334	1160
224	335	1156
225	336	1152
226	337	1149
227	338	1145
228	339	1141
229	340	1138
230	340	1134
231	341	1131
232	342	1127
233	343	1124
234	344	1121
235	345	1117
236	346	1114
237	347	1111
238	348	1108
239	348	1104
240	349	1101
241	350	1098
242	351	1095
243	352	1091
244	353	1088
245	354	1085
246	354	1082
247	355	1078
248	356	1075
249	357	1072
250	358	1069
251	359	1065
252	359	1062
253	360	1059
254	361	1056
255	362	1053
256	363	1051
257	364	1048
258	365	1044
259	366	1041
260	366	1038
261	367	1035
262	368	1033
263	369	1030
264	370	1027
265	371	1024
266	372	1021
267	373	1018
268	374	1017
269	375	1014
270	376	1012
271	377	1009
272	378	1007
273	379	1004
274	380	1001
275	380	999
276	381	996
277	382	994
278	383	991
279	384	988
280	385	986
281	386	983
282	387	980
283	388	978
284	388	975
285	389	973
286	390	971
287	391	968
288	392	966
289	393	963
290	394	961
291	395	959
292	396	957
293	397	955
294	398	952
295	399	950
296	400	947
297	401	945
298	402	942
299	403	940
300	403	937
301	404	935
302	405	933
303	406	931
304	407	928
305	408	926
306	409	924
307	410	921
308	411	919
309	411	916
310	412	914
311	413	912
312	414	910
313	415	907
314	416	905
315	417	903
316	418	900
317	419	898
318	420	896
319	421	894
320	422	892
321	422	890
322	423	888
323	424	886
324	425	884
325	426	881
326	427	879
327	428	877
328	429	875
329	430	873
330	431	871
331	431	868
332	432	866
333	433	865
334	434	863
335	435	861
336	436	859
337	437	857
338	438	855
339	439	853
340	440	851
341	441	849
342	442	847
343	443	845
344	444	843
345	445	841
346	446	839
347	446	837
348	447	835
349	448	833
350	449	831
351	450	829
352	451	828
353	452	826
354	453	824
355	454	822
356	455	820
357	456	818
358	457	816
359	458	814
360	459	812
361	459	810
362	460	808
363	461	806
364	462	804
365	463	802
366	464	801
367	465	799
368	466	797
369	467	795
370	468	793
371	468	791
372	469	789
373	470	787
374	471	786
375	472	784
376	473	782
377	474	780
378	475	778
379	475	776
380	476	774
381	477	772
382	478	771
383	479	769
384	480	767
385	481	765
386	482	763
387	482	761
388	483	760
389	484	758
390	485	756
391	486	754
392	487	753
